archivo;punto;tipo_cod;tipo;letra;numero;agenda;tiporeg;anulado;fecha;vencimiento;importe;tc;importe_divisa;divisa;moneda_cc;cae;fecha_recepcion;cobrador;leyenda
ac1h1225.fac;00003;02;FA;B;00000091;00000024;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000091;00000168;0;0;2025-12-01;;;;;;;73328128462279.0;;;
ac1h1225.fac;00003;02;FA;B;00000096;00000024;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000102;00000094;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000109;00000213;0;0;2025-12-01;;;;;;;74268841399089.0;;;
ac1h1225.fac;00003;04;NC;A;00000112;00000213;0;0;2025-12-01;;;;;;;74358087678528.0;;;
ac1h1225.fac;00003;04;NC;A;00000115;00000067;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000118;00000013;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000118;00000018;0;0;2025-12-01;;;;;;;75088262861317.0;;;
ac1h1225.fac;00003;04;NC;A;00000120;00000031;0;0;2025-12-01;;;;;;;75088666594960.0;;;
ac1h1225.fac;00003;04;NC;A;00000121;00000080;0;0;2025-12-01;;;;;;;75158211129196.0;;;
ac1h1225.fac;00003;04;NC;A;00000125;00000242;0;0;2025-12-01;;;;;;;75218966309930.0;;;
ac1h1225.fac;00003;04;NC;A;00000127;00000014;0;0;2025-12-01;;;;;;;75258730488784.0;;;
ac1h1225.fac;00003;04;NC;A;00000128;00000013;0;0;2025-12-01;;;;;;;75258732520229.0;;;
ac1h1225.fac;00003;04;NC;A;00000129;00000139;0;0;2025-12-01;;;;;;;75298227685904.0;;;
ac1h1225.fac;00003;04;NC;A;00000130;00000005;0;0;2025-12-01;;;;;;;75308029443769.0;;;
ac1h1225.fac;00003;04;NC;A;00000131;00000213;0;0;2025-12-01;;;;;;;75308034396011.0;;;
ac1h1225.fac;00003;04;NC;A;00000132;00000026;0;0;2025-12-01;;;;;;;75328482790063.0;;;
ac1h1225.fac;00003;04;NC;A;00000133;00000026;0;0;2025-12-01;;;;;;;75378382796332.0;;;
ac1h1225.fac;00003;04;NC;A;00000134;00000213;0;0;2025-12-01;;;;;;;75388761868424.0;;;
ac1h1225.fac;00003;04;NC;A;00000136;00000280;0;0;2025-12-01;;;;;;;75408537076111.0;;;
ac1h1225.fac;00003;04;NC;A;00000137;00000022;0;0;2025-12-01;;;;;;;75418729411046.0;;;
ac1h1225.fac;00003;04;NC;A;00000138;00000067;0;0;2025-12-01;;;;;;;75428031884257.0;;;
ac1h1225.fac;00003;04;NC;A;00000139;00000013;0;0;2025-12-01;;;;;;;75438028315396.0;;;
ac1h1225.fac;00003;04;NC;A;00000140;00000285;0;0;2025-12-01;;;;;;;75448858886673.0;;;
ac1h1225.fac;00003;04;NC;A;00000141;00000242;0;0;2025-12-01;;;;;;;75468368185001.0;;;
ac1h1225.fac;00003;04;NC;A;00000142;00000275;0;0;2025-12-01;;;;;;;75478130081243.0;;;
ac1h1225.fac;00003;04;NC;A;00000143;00000026;0;0;2025-12-01;;;;;;;75508385702078.0;;;
ac1h1225.fac;00003;04;NC;A;00000144;00000294;0;0;2025-12-01;;;;;;;75528949668804.0;;;
ac1h1225.fac;00003;02;FA;A;00000146;00000007;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000165;00000014;0;0;2025-12-01;;;;;;;71458933427723.0;;;
ac1h1225.fac;00003;02;FA;A;00000169;00000014;0;0;2025-12-01;;;;;;;71458009179436.0;;;
ac1h1225.fac;00003;02;FA;B;00000191;00000190;0;0;2025-12-01;;;;;;;75268784187852.0;;;
ac1h1225.fac;00003;02;FA;B;00000196;00000258;0;0;2025-12-01;;;;;;;75398055908804.0;;;
ac1h1225.fac;00003;02;FA;B;00000198;00000281;0;0;2025-12-01;;;;;;;75408995882602.0;;;
ac1h1225.fac;00003;02;FA;B;00000200;00000285;0;0;2025-12-01;;;;;;;75448858455803.0;;;
ac1h1225.fac;00003;02;FA;B;00000201;00000188;0;0;2025-12-01;;;;;;;75498629823659.0;;;
ac1h1225.fac;00003;02;FA;B;00000202;00000017;0;0;2025-12-01;;;;;;;75518054428176.0;;;
ac1h1225.fac;00003;02;FA;B;00000204;00000017;0;0;2025-12-01;;;;;;;76018297082622.0;;;
ac1h1225.fac;00003;02;FA;B;00000205;00000258;0;0;2025-12-01;;;;;;;76018597475994.0;;;
ac1h1225.fac;00003;02;FA;B;00000206;00000293;0;0;2025-12-01;;;;;;;76018608094187.0;;;
ac1h1225.fac;00003;19;19;;00000213;00000014;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000254;00000011;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000262;00000005;0;0;2025-12-01;;;;;;;72168814618754.0;;;
ac1h1225.fac;00003;02;FA;A;00000263;00000014;0;0;2025-12-01;;;;;;;72168818236843.0;;;
ac1h1225.fac;00003;02;FA;A;00000277;00000021;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000293;00000011;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000294;00000011;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000299;00000021;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000307;00000011;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000343;00000011;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000397;00000021;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000414;00000173;0;0;2025-12-01;;;;;;;72468942428256.0;;;
ac1h1225.fac;00003;02;FA;A;00000425;00000021;0;0;2025-12-01;;;;;;;72478614767117.0;;;
ac1h1225.fac;00003;02;FA;A;00000502;00000013;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000519;00000173;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000541;00000159;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000543;00000021;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000577;00000168;0;0;2025-12-01;;;;;;;73308009726532.0;;;
ac1h1225.fac;00003;02;FA;A;00000590;00000192;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000623;00000018;0;0;2025-12-01;;;;;;;73428977798150.0;;;
ac1h1225.fac;00003;02;FA;A;00000674;00000013;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000677;00000013;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000690;00000013;0;0;2025-12-01;;;;;;;74038313844795.0;;;
ac1h1225.fac;00003;02;FA;A;00000742;00000067;0;0;2025-12-01;;;;;;;74168045376705.0;;;
ac1h1225.fac;00003;02;FA;A;00000786;00000213;0;0;2025-12-01;;;;;;;74268639469867.0;;;
ac1h1225.fac;00003;02;FA;A;00000804;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000823;00000213;0;0;2025-12-01;;;;;;;74358086938490.0;;;
ac1h1225.fac;00003;02;FA;A;00000870;00000028;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000871;00000018;0;0;2025-12-01;;;;;;;74478867208354.0;;;
ac1h1225.fac;00003;02;FA;A;00000886;00000028;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000889;00000165;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000893;00000207;0;0;2025-12-01;;;;;;;75028972271949.0;;;
ac1h1225.fac;00003;02;FA;A;00000897;00000028;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000900;00000018;0;0;2025-12-01;;;;;;;75028977138329.0;;;
ac1h1225.fac;00003;02;FA;A;00000904;00000031;0;0;2025-12-01;;;;;;;75028232278875.0;;;
ac1h1225.fac;00003;02;FA;A;00000910;00000207;0;0;2025-12-01;;;;;;;75068052137400.0;;;
ac1h1225.fac;00003;02;FA;A;00000914;00000207;0;0;2025-12-01;;;;;;;75078420168782.0;;;
ac1h1225.fac;00003;02;FA;A;00000916;00000031;0;0;2025-12-01;;;;;;;75078422877191.0;;;
ac1h1225.fac;00003;02;FA;A;00000924;00000207;0;0;2025-12-01;;;;;;;75088006998002.0;;;
ac1h1225.fac;00003;02;FA;A;00000936;00000028;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000938;00000080;0;0;2025-12-01;;;;;;;75118563508869.0;;;
ac1h1225.fac;00003;02;FA;A;00000947;00000013;0;0;2025-12-01;;;;;;;75128536103692.0;;;
ac1h1225.fac;00003;02;FA;A;00000955;00000207;0;0;2025-12-01;;;;;;;75168226514872.0;;;
ac1h1225.fac;00003;02;FA;A;00000959;00000028;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000961;00000213;0;0;2025-12-01;;;;;;;75168236326682.0;;;
ac1h1225.fac;00003;02;FA;A;00000972;00000014;0;0;2025-12-01;;;;;;;75198909051949.0;;;
ac1h1225.fac;00003;02;FA;A;00000973;00000207;0;0;2025-12-01;;;;;;;75198909482497.0;;;
ac1h1225.fac;00003;02;FA;A;00000976;00000165;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000984;00000028;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000994;00000207;0;0;2025-12-01;;;;;;;75248598389659.0;;;
ac1h1225.fac;00003;02;FA;A;00001020;00000007;0;0;2025-12-01;;;;;;;75288077735706.0;;;
ac1h1225.fac;00003;02;FA;A;00001026;00000207;0;0;2025-12-01;;;;;;;75288082356179.0;;;
ac1h1225.fac;00003;02;FA;A;00001031;00000139;0;0;2025-12-01;;;;;;;75298679033089.0;;;
ac1h1225.fac;00003;02;FA;A;00001033;00000207;0;0;2025-12-01;;;;;;;75298260106386.0;;;
ac1h1225.fac;00003;02;FA;A;00001035;00000005;0;0;2025-12-01;;;;;;;75308030050607.0;;;
ac1h1225.fac;00003;02;FA;A;00001039;00000242;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001041;00000207;0;0;2025-12-01;;;;;;;75328350489342.0;;;
ac1h1225.fac;00003;02;FA;A;00001047;00000080;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001050;00000139;0;0;2025-12-01;;;;;;;75358810317590.0;;;
ac1h1225.fac;00003;02;FA;A;00001054;00000007;0;0;2025-12-01;;;;;;;75368383417658.0;;;
ac1h1225.fac;00003;02;FA;A;00001055;00000242;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001058;00000207;0;0;2025-12-01;;;;;;;75368445100836.0;;;
ac1h1225.fac;00003;02;FA;A;00001059;00000026;0;0;2025-12-01;;;;;;;75368445955531.0;;;
ac1h1225.fac;00003;02;FA;A;00001063;00000213;0;0;2025-12-01;;;;;;;75378336291420.0;;;
ac1h1225.fac;00003;02;FA;A;00001064;00000080;0;0;2025-12-01;;;;;;;75378381101659.0;;;
ac1h1225.fac;00003;02;FA;A;00001073;00000280;0;0;2025-12-01;;;;;;;75408533645410.0;;;
ac1h1225.fac;00003;02;FA;A;00001077;00000242;0;0;2025-12-01;;;;;;;75408987507772.0;;;
ac1h1225.fac;00003;02;FA;A;00001081;00000207;0;0;2025-12-01;;;;;;;75418288447817.0;;;
ac1h1225.fac;00003;02;FA;A;00001082;00000007;0;0;2025-12-01;;;;;;;75418288813744.0;;;
ac1h1225.fac;00003;02;FA;A;00001086;00000018;0;0;2025-12-01;;;;;;;75418289878358.0;;;
ac1h1225.fac;00003;02;FA;A;00001089;00000022;0;0;2025-12-01;;;;;;;75418314260668.0;;;
ac1h1225.fac;00003;02;FA;A;00001092;00000165;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001102;00000207;0;0;2025-12-01;;;;;;;75468636513006.0;;;
ac1h1225.fac;00003;02;FA;A;00001103;00000007;0;0;2025-12-01;;;;;;;75468637731699.0;;;
ac1h1225.fac;00003;02;FA;A;00001105;00000165;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001109;00000139;0;0;2025-12-01;;;;;;;75468720012265.0;;;
ac1h1225.fac;00003;02;FA;A;00001111;00000242;0;0;2025-12-01;;;;;;;75468730882157.0;;;
ac1h1225.fac;00003;02;FA;A;00001114;00000139;0;0;2025-12-01;;;;;;;75468745434847.0;;;
ac1h1225.fac;00003;02;FA;A;00001118;00000275;0;0;2025-12-01;;;;;;;75478473313708.0;;;
ac1h1225.fac;00003;02;FA;A;00001120;00000032;0;0;2025-12-01;;;;;;;75488564716993.0;;;
ac1h1225.fac;00003;02;FA;A;00001124;00000004;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001125;00000005;0;0;2025-12-01;;;;;;;75508383989424.0;;;
ac1h1225.fac;00003;02;FA;A;00001126;00000207;0;0;2025-12-01;;;;;;;75508384410433.0;;;
ac1h1225.fac;00003;02;FA;A;00001127;00000007;0;0;2025-12-01;;;;;;;75508385109599.0;;;
ac1h1225.fac;00003;02;FA;A;00001128;00000026;0;0;2025-12-01;;;;;;;75508385518785.0;;;
ac1h1225.fac;00003;02;FA;A;00001129;00000012;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001130;00000165;0;0;2025-12-01;;;;;;;75508386478868.0;;;
ac1h1225.fac;00003;02;FA;A;00001132;00000213;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001133;00000018;0;0;2025-12-01;;;;;;;75508387171400.0;;;
ac1h1225.fac;00003;02;FA;A;00001134;00000020;0;0;2025-12-01;;;;;;;75508387407930.0;;;
ac1h1225.fac;00003;02;FA;A;00001135;00000233;0;0;2025-12-01;;;;;;;75508387739953.0;;;
ac1h1225.fac;00003;02;FA;A;00001138;00000014;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00001139;00000139;0;0;2025-12-01;;;;;;;75508875457051.0;;;
ac1h1225.fac;00003;02;FA;A;00001140;00000013;0;0;2025-12-01;;;;;;;75518078644561.0;;;
ac1h1225.fac;00003;02;FA;A;00001141;00000294;0;0;2025-12-01;;;;;;;75528947138023.0;;;
ac1h1225.fac;00003;02;FA;A;00001142;00000292;0;0;2025-12-01;;;;;;;76018609469768.0;;;
ac1h1225.fac;00003;02;FA;A;00001143;00000067;0;0;2025-12-01;;;;;;;76018612525657.0;;;
ac1h1225.fac;00003;02;FA;A;00001144;00000067;0;0;2025-12-01;;;;;;;76018613427276.0;;;
ac1h1225.fac;00003;05;RC;;00005897;00000014;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00006841;00000014;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007642;00000080;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007648;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007665;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007675;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007695;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007760;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007770;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00007786;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100196;00000014;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100219;00000015;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100736;00000020;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100814;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100816;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100819;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100822;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100835;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100846;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100856;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100857;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100896;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100914;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100924;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100942;00000207;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;05;RC;;00100943;00000028;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;15;15;;00000001;00000106;2;0;2025-12-01;2021-06-17;109.0;1.0;109.0;0;S;;;;
ac1h1225.fac;01900;15;15;;00000002;00000106;2;0;2025-12-01;2021-06-17;109.0;1.0;109.0;0;S;;;;
ac1h1225.fac;01900;19;19;;00000003;00000064;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;19;19;;00000006;00000113;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;19;19;;00000007;00000113;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;19;19;;00000008;00000157;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000160;00000006;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000164;00000006;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00000166;00000157;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000171;00000006;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000173;00000136;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000174;00000006;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000175;00000046;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000177;00000209;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000178;00000205;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000179;00000210;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00000180;00000216;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00000429;00000113;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00001014;00000246;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00007190;00000064;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00007671;00000255;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00007725;00000034;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00007776;00000046;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;05;RC;;00007790;00000167;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00070321;00000086;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;A;00122010;00000086;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211375;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211382;00000064;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211399;00000243;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211400;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211416;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211453;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211485;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211486;00000191;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211506;00000221;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211507;00000058;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211508;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211509;00000191;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211545;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211546;00000058;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211578;00000221;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211580;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211581;00000191;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211613;00000058;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211618;00000191;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211620;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211624;00000221;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211636;00000255;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211658;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211659;00000043;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211674;00000045;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211700;00000058;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211701;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211702;00000043;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211724;00000243;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211731;00000221;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211737;00000221;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211738;00000056;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211739;00000042;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211740;00000043;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211743;00000061;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211757;00000112;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211762;00000202;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211764;00000291;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211765;00000122;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211767;00000214;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211768;00000221;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211769;00000056;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211771;00000061;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211772;00000034;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211773;00000252;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211775;00000050;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211779;00000243;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211780;00000243;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211781;00000202;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211786;00000255;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;01900;02;FA;B;19211789;00000043;0;0;2025-12-01;;;;;;;;;;
