rc_punto;rc_numero;rc_agenda;forma_cod;medio;importe;banco;cheque_nro;vto;cuit_emisor;propio_terceros
01900;00001126;00000306;6;transferencia;2109.0;;;;;P
01900;00001144;00000181;6;transferencia;611.62;;;;;P
01900;00001340;00000312;6;transferencia;443.28;;;;;P
01900;00001120;00000034;6;transferencia;148.0;;;;;P
00003;00100993;00000207;6;transferencia;426000.0;;;;;P
01900;00001123;00000058;6;transferencia;709.35;;;;;P
01900;00001124;00000288;6;transferencia;184.53;;;;;P
01900;00001125;00000249;6;transferencia;792.44;;;;;P
01900;00007862;00000136;6;transferencia;223.1;;;;;P
00003;00100994;00000268;6;transferencia;255600.0;;;;;P
01900;00001127;00000216;6;transferencia;4073.0;;;;;P
01900;00001128;00000143;6;transferencia;197.0;;;;;P
00003;00007863;00000017;6;transferencia;976059.93;;;;;P
01900;00001129;00000037;6;transferencia;609.09;;;;;P
01900;00001130;00000045;6;transferencia;1321.33;;;;;P
00003;00100995;00000233;6;transferencia;213700.0;;;;;P
00003;00100996;00000213;6;transferencia;395373.8;;;;;P
01900;00001131;00000250;6;transferencia;47.96;;;;;P
01900;00001132;00000272;6;transferencia;182.74;;;;;P
01900;00001133;00000296;6;transferencia;138.0;;;;;P
01900;00001134;00000305;6;transferencia;125.83;;;;;P
01900;00001135;00000305;6;transferencia;145.92;;;;;P
01900;00007951;00000202;6;transferencia;6290.03;;;;;P
01900;00001136;00000132;6;transferencia;1320.4;;;;;P
00003;00100997;00000207;6;transferencia;90131.25;;;;;P
00003;00100998;00000281;6;transferencia;191025.0;;;;;P
01900;00001137;00000045;6;transferencia;168.14;;;;;P
01900;00001138;00000111;6;transferencia;92.52;;;;;P
00003;00100999;00000209;6;transferencia;13073095.89;;;;;P
00003;00101000;00000210;6;transferencia;7287237.38;;;;;P
00003;00101001;00000205;6;transferencia;9752242.77;;;;;P
01900;00007864;00000235;6;transferencia;650.0;;;;;P
01900;00007952;00000006;6;transferencia;423.0;;;;;P
01900;00001140;00000034;6;transferencia;2748.97;;;;;P
01900;00001142;00000034;6;transferencia;275.67;;;;;P
01900;00001143;00000042;6;transferencia;1975.14;;;;;P
00003;00101002;00000138;6;transferencia;459800.0;;;;;P
00003;00101003;00000004;6;transferencia;2821863.75;;;;;P
00003;00101004;00000308;6;transferencia;605181.35;;;;;P
00003;00101005;00000310;6;transferencia;424500.0;;;;;P
01900;00001145;00000181;6;transferencia;611.62;;;;;P
01900;00001146;00000056;6;transferencia;3400.0;;;;;P
00003;00101006;00000207;6;transferencia;131481.8;;;;;P
01900;00007865;00000310;6;transferencia;1780.0;;;;;P
01900;00007866;00000068;6;transferencia;706.71;;;;;P
01900;00001147;00000136;6;transferencia;2749.73;;;;;P
00003;00007955;00000007;6;transferencia;600000.0;;;;;P
01900;00007867;00000063;6;transferencia;2991.18;;;;;P
00003;00101007;00000013;6;transferencia;2886189.65;;;;;P
00003;00101008;00000275;6;transferencia;1130484.96;;;;;P
00003;00101009;00000005;6;transferencia;546806.5;;;;;P
00003;00101010;00000067;6;transferencia;3419096.04;;;;;P
00003;00101011;00000032;6;transferencia;1890919.03;;;;;P
00003;00007869;00000017;6;transferencia;347042.9;;;;;P
01900;00007930;00000032;6;transferencia;3700.0;;;;;P
01900;00001148;00000144;6;transferencia;150.68;;;;;P
01900;00001149;00000312;6;transferencia;53.0;;;;;P
01900;00001150;00000111;6;transferencia;296.95;;;;;P
01900;00001151;00000214;6;transferencia;151.57;;;;;P
01900;00001152;00000050;6;transferencia;1360.45;;;;;P
01900;00001153;00000314;6;transferencia;95.0;;;;;P
01900;00001154;00000165;6;transferencia;200.12;;;;;P
01900;00001155;00000119;6;transferencia;1240.77;;;;;P
01900;00001156;00000224;6;transferencia;361.04;;;;;P
01900;00001157;00000317;6;transferencia;832.0;;;;;P
00003;00101012;00000242;6;transferencia;500000.0;;;;;P
00003;00101014;00000207;6;transferencia;1053840.34;;;;;P
00003;00101015;00000207;6;transferencia;346159.66;;;;;P
01900;00001158;00000112;6;transferencia;5752.26;;;;;P
01900;00001159;00000316;6;transferencia;52.0;;;;;P
01900;00001160;00000316;6;transferencia;52.0;;;;;P
01900;00001161;00000181;6;transferencia;560.0;;;;;P
01900;00001162;00000291;6;transferencia;324.53;;;;;P
01900;00001163;00000299;6;transferencia;158.0;;;;;P
01900;00001164;00000318;6;transferencia;48.0;;;;;P
01900;00007931;00000319;6;transferencia;260.0;;;;;P
01900;00007868;00000320;6;transferencia;235.0;;;;;P
01900;00001165;00000111;6;transferencia;251.57;;;;;P
01900;00001166;00000254;6;transferencia;649.75;;;;;P
01900;00001167;00000056;6;transferencia;4705.0;;;;;P
01900;00001170;00000317;6;transferencia;236.0;;;;;P
01900;00001173;00000321;6;transferencia;64.0;;;;;P
01900;00001271;00000316;6;transferencia;104.0;;;;;P
01900;00001189;00000315;6;transferencia;72.0;;;;;P
00003;00101021;00000311;6;transferencia;459800.0;;;;;P
01900;00001196;00000122;6;transferencia;163.53;;;;;P
01900;00001206;00000221;6;transferencia;1000.0;;;;;P
01900;00007957;00000006;6;transferencia;800.0;;;;;P
01900;00007871;00000043;6;transferencia;714.28;;;;;P
01900;00007870;00000305;6;transferencia;158.56;;;;;P
01900;00007956;00000143;6;transferencia;227.0;;;;;P
00003;00101016;00000308;6;transferencia;664521.72;;;;;P
01900;00001168;00000056;6;transferencia;1250.0;;;;;P
01900;00001169;00000111;6;transferencia;206.0;;;;;P
01900;00001171;00000299;6;transferencia;160.0;;;;;P
00003;00007872;00000139;6;transferencia;10696010.45;;;;;P
01900;00001172;00000305;6;transferencia;169.49;;;;;P
01900;00001174;00000056;6;transferencia;4500.0;;;;;P
01900;00001175;00000056;6;transferencia;1415.0;;;;;P
01900;00001176;00000056;6;transferencia;1108.0;;;;;P
01900;00001236;00000056;6;transferencia;3121.79;;;;;P
00003;00101017;00000026;6;transferencia;1485770.4;;;;;P
00003;00101018;00000004;6;transferencia;4130512.35;;;;;P
00003;00101019;00000025;6;transferencia;1039003.2;;;;;P
01900;00007874;00000016;6;transferencia;365.65;;;;;P
01900;00007875;00000016;6;transferencia;591.5;;;;;P
01900;00007876;00000068;6;transferencia;956.52;;;;;P
01900;00007933;00000235;6;transferencia;1295.62;;;;;P
01900;00001179;00000252;6;transferencia;400.0;;;;;P
01900;00001180;00000045;6;transferencia;1871.73;;;;;P
01900;00001181;00000112;6;transferencia;5892.0;;;;;P
01900;00001182;00000136;6;transferencia;3684.59;;;;;P
01900;00001183;00000301;6;transferencia;309.0;;;;;P
01900;00001184;00000296;6;transferencia;324.0;;;;;P
01900;00001185;00000323;6;transferencia;73.0;;;;;P
01900;00007729;00000191;6;transferencia;357.14;;;;;P
01900;00001205;00000122;6;transferencia;629.01;;;;;P
00003;00101033;00000004;6;transferencia;5084913.4;;;;;P
01900;00001190;00000252;6;transferencia;500.0;;;;;P
01900;00007877;00000063;6;transferencia;5690.07;;;;;P
01900;00007958;00000143;6;transferencia;157.7;;;;;P
00003;00101020;00000322;6;transferencia;129735.0;;;;;P
01900;00001191;00000313;6;transferencia;138.0;;;;;P
01900;00001192;00000293;6;transferencia;184.95;;;;;P
00003;00101022;00000268;6;transferencia;206590.0;;;;;P
01900;00001193;00000297;6;transferencia;586.0;;;;;P
01900;00007878;00000324;6;transferencia;776.61;;;;;P
01900;00001194;00000166;6;transferencia;379.37;;;;;P
01900;00001195;00000024;6;transferencia;1459.77;;;;;P
01900;00001197;00000214;6;transferencia;346.59;;;;;P
01900;00001198;00000172;6;transferencia;142.71;;;;;P
01900;00001199;00000061;6;transferencia;9075.17;;;;;P
00003;00101023;00000067;6;transferencia;2936670.81;;;;;P
01900;00007730;00000066;6;transferencia;428.57;;;;;P
00003;00101024;00000308;6;transferencia;485284.8;;;;;P
00003;00101025;00000025;6;transferencia;677049.3;;;;;P
01900;00001200;00000254;6;transferencia;145.81;;;;;P
00003;00101026;00000005;6;transferencia;412012.63;;;;;P
00003;00101027;00000005;6;transferencia;927192.8;;;;;P
01900;00001201;00000050;6;transferencia;1225.63;;;;;P
01900;00001202;00000250;6;transferencia;69.81;;;;;P
00003;00101028;00000028;6;transferencia;303395.7;;;;;P
00003;00101029;00000014;6;transferencia;239499.0;;;;;P
01900;00001203;00000252;6;transferencia;600.0;;;;;P
00003;00101030;00000020;6;transferencia;614209.8;;;;;P
01900;00001204;00000249;6;transferencia;653.17;;;;;P
01900;00007879;00000255;6;transferencia;300.0;;;;;P
01900;00001207;00000221;6;transferencia;1000.0;;;;;P
01900;00001208;00000143;6;transferencia;52.3;;;;;P
01900;00007961;00000132;6;transferencia;1909.44;;;;;P
01900;00001209;00000202;6;transferencia;4591.8;;;;;P
00003;00007960;00000028;6;transferencia;1101953.6;;;;;P
00003;00007880;00000207;6;transferencia;1000000.0;;;;;P
00003;00101034;00000026;6;transferencia;2125627.0;;;;;P
00003;00101036;00000308;6;transferencia;635585.95;;;;;P
01900;00001216;00000327;6;transferencia;352.0;;;;;P
01900;00001217;00000181;6;transferencia;1223.24;;;;;P
00003;00101040;00000031;6;transferencia;202288.95;;;;;P
01900;00001226;00000224;6;transferencia;253.54;;;;;P
01900;00001227;00000044;6;transferencia;410.87;;;;;P
01900;00001237;00000058;6;transferencia;464.0;;;;;P
01900;00001272;00000296;6;transferencia;225.0;;;;;P
01900;00001275;00000299;6;transferencia;196.0;;;;;P
01900;00007884;00000043;6;transferencia;703.86;;;;;P
00003;00007882;00000007;6;transferencia;1415000.0;;;;;P
01900;00001210;00000221;6;transferencia;1000.0;;;;;P
00003;00101035;00000139;6;transferencia;5487228.25;;;;;P
01900;00001211;00000328;6;transferencia;1522.0;;;;;P
01900;00001212;00000136;6;transferencia;1908.62;;;;;P
01900;00001213;00000048;6;transferencia;68.91;;;;;P
01900;00007887;00000040;6;transferencia;468.21;;;;;P
00003;00007886;00000207;6;transferencia;500000.0;;;;;P
01900;00001214;00000045;6;transferencia;1871.94;;;;;P
01900;00001215;00000214;6;transferencia;192.59;;;;;P
01900;00007962;00000329;6;transferencia;2787.9;;;;;P
01900;00007731;00000006;6;transferencia;557.37;;;;;P
01900;00007889;00000064;6;transferencia;227.15;;;;;P
01900;00007888;00000068;6;transferencia;294.77;;;;;P
01900;00007890;00000325;6;transferencia;400.0;;;;;P
01900;00001218;00000252;6;transferencia;500.0;;;;;P
01900;00001219;00000204;6;transferencia;64.75;;;;;P
00003;00101037;00000275;6;transferencia;97767.0;;;;;P
00003;00101038;00000308;6;transferencia;388417.5;;;;;P
00003;00101039;00000172;6;transferencia;1184999.25;;;;;P
00003;00101041;00000233;6;transferencia;186692.4;;;;;P
01900;00001220;00000181;6;transferencia;1223.24;;;;;P
01900;00007732;00000331;6;transferencia;8484.73;;;;;P
01900;00001221;00000024;6;transferencia;400.06;;;;;P
01900;00001222;00000144;6;transferencia;196.12;;;;;P
01900;00001223;00000050;6;transferencia;111.14;;;;;P
00003;00101042;00000285;6;transferencia;693244.0;;;;;P
01900;00001224;00000332;6;transferencia;125.85;;;;;P
01900;00001225;00000112;6;transferencia;2836.16;;;;;P
00003;00101043;00000005;6;transferencia;1462111.38;;;;;P
00003;00101044;00000172;6;transferencia;1489239.34;;;;;P
01900;00001228;00000221;6;transferencia;1000.0;;;;;P
01900;00001229;00000066;6;transferencia;352.11;;;;;P
00003;00101045;00000067;6;transferencia;4134762.61;;;;;P
00003;00101046;00000028;6;transferencia;1085527.8;;;;;P
00003;00101047;00000298;6;transferencia;459987.7;;;;;P
00003;00007891;00000207;6;transferencia;800000.0;;;;;P
01900;00001230;00000177;6;transferencia;128.1;;;;;P
01900;00007892;00000255;6;transferencia;200.0;;;;;P
01900;00001231;00000122;6;transferencia;424.09;;;;;P
01900;00001232;00000034;6;transferencia;1300.0;;;;;P
01900;00001233;00000252;6;transferencia;1000.0;;;;;P
01900;00001234;00000293;6;transferencia;273.64;;;;;P
01900;00001235;00000293;6;transferencia;401.0;;;;;P
00003;00007894;00000207;6;transferencia;400000.0;;;;;P
01900;00001238;00000058;6;transferencia;400.0;;;;;P
00003;00101048;00000308;6;transferencia;376859.7;;;;;P
00003;00101049;00000233;6;transferencia;168951.6;;;;;P
01900;00001241;00000264;6;transferencia;112.62;;;;;P
00003;00101050;00000004;6;transferencia;5719334.0;;;;;P
00003;00101051;00000027;6;transferencia;903986.96;;;;;P
00003;00101052;00000165;6;transferencia;2082869.79;;;;;P
01900;00001248;00000273;6;transferencia;145.27;;;;;P
01900;00001249;00000068;6;transferencia;975.0;;;;;P
00003;00101054;00000281;6;transferencia;134019.6;;;;;P
00003;00101055;00000005;6;transferencia;244325.2;;;;;P
01900;00001253;00000262;6;transferencia;533.98;;;;;P
00003;00101056;00000026;6;transferencia;960248.45;;;;;P
01900;00001239;00000112;6;transferencia;3759.72;;;;;P
01900;00007963;00000006;6;transferencia;700.0;;;;;P
01900;00007897;00000040;6;transferencia;349.9;;;;;P
01900;00007965;00000063;6;transferencia;6032.62;;;;;P
01900;00001240;00000218;6;transferencia;604.96;;;;;P
01900;00001242;00000045;6;transferencia;1898.45;;;;;P
01900;00001243;00000142;6;transferencia;327.61;;;;;P
01900;00001244;00000250;6;transferencia;65.39;;;;;P
01900;00001245;00000249;6;transferencia;1420.83;;;;;P
01900;00001246;00000045;6;transferencia;1898.46;;;;;P
01900;00001247;00000066;6;transferencia;274.19;;;;;P
01900;00001250;00000068;6;transferencia;975.0;;;;;P
00003;00101053;00000046;6;transferencia;1374560.0;;;;;P
00003;00007895;00000334;6;transferencia;415895.6;;;;;P
01900;00001251;00000335;6;transferencia;128.86;;;;;P
01900;00007898;00000068;6;transferencia;238.9;;;;;P
01900;00001254;00000072;6;transferencia;760.6;;;;;P
01900;00007935;00000326;6;transferencia;306.55;;;;;P
00003;00007936;00000139;6;transferencia;10783313.73;;;;;P
01900;00007899;00000212;6;transferencia;1000.0;;;;;P
01900;00007733;00000212;6;transferencia;324.26;;;;;P
00003;00101057;00000168;6;transferencia;11851479.55;;;;;P
01900;00001255;00000037;6;transferencia;286.99;;;;;P
00003;00101058;00000209;6;transferencia;16198573.71;;;;;P
00003;00101059;00000275;6;transferencia;540661.91;;;;;P
00003;00101060;00000005;6;transferencia;378557.8;;;;;P
00003;00101061;00000012;6;transferencia;541362.4;;;;;P
01900;00001256;00000016;6;transferencia;1194.3;;;;;P
00003;00007938;00000207;6;transferencia;1169170.1;;;;;P
00003;00007937;00000207;6;transferencia;500000.0;;;;;P
01900;00001257;00000305;6;transferencia;240.0;;;;;P
01900;00001258;00000072;6;transferencia;514.63;;;;;P
01900;00007940;00000246;6;transferencia;1067.0;;;;;P
01900;00001259;00000113;6;transferencia;149.78;;;;;P
00003;00101062;00000004;6;transferencia;647477.4;;;;;P
00003;00101063;00000235;6;transferencia;534871.0;;;;;P
01900;00001260;00000172;6;transferencia;191.45;;;;;P
00003;00101064;00000275;6;transferencia;296498.11;;;;;P
01900;00001261;00000045;6;transferencia;1200.67;;;;;P
01900;00001262;00000112;6;transferencia;4600.0;;;;;P
01900;00001263;00000338;6;transferencia;806.65;;;;;P
01900;00001264;00000214;6;transferencia;330.44;;;;;P
01900;00001265;00000037;6;transferencia;1300.42;;;;;P
01900;00001266;00000068;6;transferencia;950.0;;;;;P
00003;00101065;00000026;6;transferencia;1384464.67;;;;;P
01900;00001267;00000136;6;transferencia;4203.96;;;;;P
01900;00001268;00000221;6;transferencia;1000.0;;;;;P
01900;00001269;00000291;6;transferencia;1676.05;;;;;P
00003;00101066;00000067;6;transferencia;1407141.26;;;;;P
00003;00101067;00000006;6;transferencia;1000000.0;;;;;P
01900;00007734;00000006;6;transferencia;668.89;;;;;P
00003;00007942;00000007;6;transferencia;1500000.0;;;;;P
01900;00007941;00000325;6;transferencia;400.0;;;;;P
01900;00007966;00000339;6;transferencia;700.0;;;;;P
00003;00101068;00000308;6;transferencia;816688.6;;;;;P
00003;00101069;00000020;6;transferencia;99165.75;;;;;P
00003;00101070;00000207;6;transferencia;496719.02;;;;;P
00003;00101071;00000295;6;transferencia;103283.98;;;;;P
01900;00001270;00000186;6;transferencia;462.0;;;;;P
00003;00101073;00000336;6;transferencia;217891.5;;;;;P
01900;00001273;00000300;6;transferencia;257.0;;;;;P
01900;00001274;00000327;6;transferencia;220.0;;;;;P
01900;00001276;00000340;6;transferencia;183.0;;;;;P
01900;00001277;00000341;6;transferencia;2225.0;;;;;P
01900;00007934;00000342;6;transferencia;216.0;;;;;P
01900;00001278;00000343;6;transferencia;115.0;;;;;P
01900;00001279;00000066;6;transferencia;267.0;;;;;P
01900;00001280;00000154;6;transferencia;606.0;;;;;P
01900;00001281;00000293;6;transferencia;404.38;;;;;P
00003;00101076;00000013;6;transferencia;1085182.65;;;;;P
01900;00001292;00000050;6;transferencia;50.25;;;;;P
01900;00001293;00000333;6;transferencia;135.0;;;;;P
01900;00001294;00000166;6;transferencia;50.99;;;;;P
01900;00001302;00000293;6;transferencia;186.02;;;;;P
01900;00001308;00000056;6;transferencia;1570.0;;;;;P
01900;00001400;00000072;6;transferencia;42.15;;;;;P
01900;00001415;00000350;6;transferencia;383.99;;;;;P
01900;00007943;00000337;6;transferencia;4607.99;;;;;P
00003;00101074;00000004;6;transferencia;16040210.75;;;;;P
01900;00001282;00000202;6;transferencia;5906.17;;;;;P
01900;00001283;00000132;6;transferencia;93.83;;;;;P
00003;00101075;00000242;6;transferencia;200000.0;;;;;P
00003;00101077;00000275;6;transferencia;63498.75;;;;;P
01900;00001284;00000056;6;transferencia;9675.0;;;;;P
01900;00007736;00000338;6;transferencia;676.24;;;;;P
01900;00007945;00000066;6;transferencia;331.12;;;;;P
00003;00007944;00000007;6;transferencia;900000.0;;;;;P
01900;00001285;00000224;6;transferencia;773.58;;;;;P
01900;00001286;00000297;6;transferencia;376.15;;;;;P
01900;00001287;00000181;6;transferencia;611.62;;;;;P
01900;00007735;00000288;6;transferencia;175.0;;;;;P
00003;00101078;00000281;6;transferencia;482528.05;;;;;P
01900;00001288;00000299;6;transferencia;220.46;;;;;P
01900;00001289;00000056;6;transferencia;1000.0;;;;;P
01900;00007946;00000025;6;transferencia;6900.0;;;;;P
00003;00101079;00000205;6;transferencia;15686453.31;;;;;P
01900;00001290;00000160;6;transferencia;164.35;;;;;P
01900;00001291;00000112;6;transferencia;1077.66;;;;;P
00003;00101080;00000013;6;transferencia;1025282.6;;;;;P
00003;00101081;00000026;6;transferencia;1260139.39;;;;;P
01900;00001295;00000024;6;transferencia;446.9;;;;;P
01900;00001296;00000142;6;transferencia;358.6;;;;;P
01900;00001297;00000061;6;transferencia;13469.55;;;;;P
01900;00001298;00000322;6;transferencia;82.0;;;;;P
01900;00007947;00000063;6;transferencia;6370.24;;;;;P
00003;00007949;00000295;6;transferencia;1000000.0;;;;;P
01900;00001299;00000122;6;transferencia;459.36;;;;;P
01900;00001300;00000224;6;transferencia;534.41;;;;;P
01900;00001301;00000305;6;transferencia;193.69;;;;;P
00003;00101082;00000295;6;transferencia;84465.0;;;;;P
00003;00101083;00000005;6;transferencia;270082.92;;;;;P
00003;00101084;00000139;6;transferencia;5400000.0;;;;;P
01900;00001303;00000221;6;transferencia;2229.67;;;;;P
01900;00007984;00000334;6;transferencia;138.0;;;;;P
01900;00007738;00000143;6;transferencia;214.0;;;;;P
01900;00001304;00000181;6;transferencia;611.62;;;;;P
01900;00001305;00000136;6;transferencia;1746.18;;;;;P
00003;00101085;00000014;6;transferencia;246120.0;;;;;P
00003;00101086;00000213;6;transferencia;169663.6;;;;;P
00003;00101087;00000067;6;transferencia;1408914.83;;;;;P
01900;00001306;00000068;6;transferencia;2000.0;;;;;P
01900;00001307;00000056;6;transferencia;1652.0;;;;;P
01900;00001309;00000312;6;transferencia;404.38;;;;;P
00003;00007950;00000025;6;transferencia;7555105.6;;;;;P
00003;00101088;00000275;6;transferencia;632702.25;;;;;P
00003;00101089;00000308;6;transferencia;1260718.31;;;;;P
01900;00001310;00000177;6;transferencia;206.45;;;;;P
01900;00007740;00000006;6;transferencia;1020.0;;;;;P
01900;00001311;00000119;6;transferencia;1113.46;;;;;P
01900;00001312;00000181;6;transferencia;611.62;;;;;P
00003;00101090;00000295;6;transferencia;1232000.0;;;;;P
01900;00001313;00000252;6;transferencia;600.0;;;;;P
